family,species,n
Asparagaceae,Dracaena reflexa,1587
Aphloiaceae,Aphloia theiformis,1329
Fabaceae,Hymenaea verrucosa,1257
Apocynaceae,Mascarenhasia arborescens,1225
Phyllanthaceae,Antidesma madagascariense,1177
Moraceae,Ficus politoria,1126
Lauraceae,Mespilodaphne racemosa,1061
Apocynaceae,Plectaneia thouarsii,1005
Apocynaceae,Tabernaemontana coffeoides,1000
Rubiaceae,Gaertnera obovata,927
Sarcolaenaceae,Leptolaena pauciflora,919
Phyllanthaceae,Uapaca bojeri,906
Putranjivaceae,Drypetes madagascariensis,865
Apocynaceae,Petchia erythrocarpa,848
Apocynaceae,Carissa spinarum,826
Phyllanthaceae,Uapaca densifolia,819
Orchidaceae,Jumellea stenophylla,812
Sapindaceae,Tina striata,788
Physenaceae,Physena madagascariensis,770
Moraceae,Ficus reflexa,759
Violaceae,Rinorea arborea,721
Salicaceae,Casearia nigrescens,715
Apocynaceae,Craspidospermum verticillatum,696
Myrtaceae,Syzygium emirnense,696
Rubiaceae,Pauridiantha paucinervis,691
Clusiaceae,Garcinia verrucosa,688
Fabaceae,Baudouinia fluggeiformis,669
Monimiaceae,Tambourissa purpurea,668
Sarcolaenaceae,Sarcolaena multiflora,648
Orchidaceae,Angraecum compactum,642
Acanthaceae,Mendoncia flagellaris,617
Moraceae,Ampalis dimepate,605
Ericaceae,Vaccinium madagascariense,602
Loganiaceae,Strychnos madagascariensis,601
Phyllanthaceae,Uapaca littoralis,601
